title,category
여기  눕기만 해도 온몸이 풀려  나만의 맞춤형 이고진 휴대용 마사지보드,스포츠·모빌리티
   리터 대용량 내하중      아우틴스 블루 웨건 우드 상판 포함,여행·레저
한 권으로 떠나는 여행  천 년의 역사가 담긴 다채로운  한국의 파랑 ,출판                             #####
갤러플 아이폰 맥세이프 그립 스마트 톡 핸드폰 가죽 카드지갑 거치대,테크·가전
 진로   레가토 불 없이 요리를   초슬림 미니그릴 초깔끔하게 정리가능,테크·가전
                        일상을 기록하는 간편한 방법,테크·가전
 백화점  홈쇼핑에서                   주얼리  빌롱투유 ,패션·잡화
      워터랩  래시가드 안녕  기능성 디자인 가성비 모두 하나로 ,패션·잡화
 누적 억   움직이는 주얼리  찰랑이는 물결의 반짝임을 담은 천연 원석,패션·잡화
핑계라고요  ,패션·잡화                                                                    ####
이탈리아 감성을 담은 베네치아니코의 다이버 시계            ,패션·잡화                          ######
 누적 억 만족도    블랙야크 제주여행 가세요  트래블러   하세요 ,패션·잡화                        ####
제주의 귤꽃향 가득한 초당옥수수 재배와 함께 드셔보세요,푸드
     앵콜펀딩   청정통카츠 정성스레 튀기고 한번 더 구웠습니다 ,푸드
난리난 땅콩버터주스   핫한 식단관리   검색만해도 후기폭발,푸드
 대만억펀딩  죄책감 없는 일탈 가능한 단백질 가득 프로틴 논알콜 맥주 ,푸드
 앵콜   차  시원한 여름맞이엔  이제는 빨간오징어가 빠질 수 없죠 ,푸드                            #####
뭉친 가루 그냥 먹지 마세요   초 매직  랄라 전동 텀블러 로 똑똑하게,홈·리빙
세상에 이런 캔들은 없었다  멍뭉이 디저트 캔들,홈·리빙
 천원으로 누리는 벌레적 자유   해충전문가 세스코가 만든 모기약,홈·리빙
